strike,option_type,bid,ask
3800.0,C,1183.55,1207.5
3825.0,C,1156.75,1180.15
3850.0,C,1133.3,1156.25
3875.0,C,1105.6000000000001,1128.0
3900.0,C,1082.0,1103.95
3925.0,C,1059.65,1081.1000000000001
3950.0,C,1037.45,1058.45
3975.0,C,1013.8000000000001,1034.3500000000001
4000.0,C,986.0,1005.95
4025.0,C,964.7,984.2
4050.0,C,938.45,957.45
4075.0,C,916.5,935.0500000000001
4100.0,C,889.95,907.95
4125.0,C,868.1,885.6500000000001
4150.0,C,843.6,860.7
4175.0,C,820.0500000000001,836.6500000000001
4200.0,C,797.5500000000001,813.7
4225.0,C,772.1,787.75
4250.0,C,750.8000000000001,766.0
4275.0,C,727.1,741.85
4300.0,C,706.0500000000001,720.4000000000001
4325.0,C,679.1,692.9000000000001
4350.0,C,656.4000000000001,669.7
4375.0,C,634.0,646.85
4400.0,C,611.15,623.5500000000001
4425.0,C,588.25,600.2
4450.0,C,566.4,577.9
4475.0,C,542.95,553.95
4500.0,C,523.0,533.6
4525.0,C,501.8,512.0
4550.0,C,480.20000000000005,489.95000000000005
4575.0,C,459.5,468.8
4600.0,C,437.85,446.75
4625.0,C,417.25,425.70000000000005
4650.0,C,398.0,406.1
4675.0,C,377.70000000000005,385.35
4700.0,C,358.85,366.15000000000003
4725.0,C,340.90000000000003,347.85
4750.0,C,321.90000000000003,328.45000000000005
4775.0,C,304.5,310.70000000000005
4800.0,C,287.90000000000003,293.75
4825.0,C,271.3,276.85
4850.0,C,255.0,260.2
4875.0,C,239.05,243.9
4900.0,C,224.5,229.10000000000002
4925.0,C,210.65,214.95000000000002
4950.0,C,195.60000000000002,199.60000000000002
4975.0,C,183.4,187.15
5000.0,C,169.95000000000002,173.45000000000002
5025.0,C,158.60000000000002,161.85000000000002
5050.0,C,146.9,149.9
5075.0,C,136.4,139.20000000000002
5100.0,C,125.9,128.5
5125.0,C,116.15,118.55000000000001
5150.0,C,107.2,109.45
5175.0,C,98.10000000000001,100.10000000000001
5200.0,C,90.35000000000001,92.25
5225.0,C,82.60000000000001,84.30000000000001
5250.0,C,75.8,77.4
5275.0,C,69.10000000000001,70.55
5300.0,C,62.95,64.25
5325.0,C,57.2,58.400000000000006
5350.0,C,52.0,53.1
5375.0,C,47.0,48.0
5400.0,C,42.6,43.5
5425.0,C,38.45,39.300000000000004
5450.0,C,34.550000000000004,35.300000000000004
5475.0,C,31.150000000000002,31.85
5500.0,C,28.1,28.700000000000003
5525.0,C,25.05,25.6
5550.0,C,22.35,22.85
5575.0,C,20.05,20.5
5600.0,C,17.900000000000002,18.35
5625.0,C,15.850000000000001,16.25
5650.0,C,14.100000000000001,14.450000000000001
5675.0,C,12.55,12.850000000000001
5700.0,C,11.15,11.4
5725.0,C,9.850000000000001,10.100000000000001
5750.0,C,8.65,8.9
5775.0,C,7.65,7.8500000000000005
5800.0,C,6.75,6.9
5825.0,C,5.9,6.1000000000000005
5850.0,C,5.2,5.3500000000000005
5875.0,C,4.55,4.7
5900.0,C,4.0,4.15
5925.0,C,3.45,3.6
5950.0,C,3.0500000000000003,3.2
5975.0,C,2.6500000000000004,2.8000000000000003
6000.0,C,2.3000000000000003,2.45
3800.0,P,4.15,4.3
3825.0,P,4.5,4.65
3850.0,P,4.8500000000000005,5.0
3875.0,P,5.2,5.3500000000000005
3900.0,P,5.6000000000000005,5.75
3925.0,P,6.0,6.15
3950.0,P,6.4,6.6000000000000005
3975.0,P,6.9,7.050000000000001
4000.0,P,7.3500000000000005,7.550000000000001
4025.0,P,7.8500000000000005,8.1
4050.0,P,8.4,8.65
4075.0,P,9.0,9.25
4100.0,P,9.65,9.850000000000001
4125.0,P,10.3,10.55
4150.0,P,11.0,11.3
4175.0,P,11.8,12.05
4200.0,P,12.65,12.950000000000001
4225.0,P,13.600000000000001,13.9
4250.0,P,14.55,14.9
4275.0,P,15.700000000000001,16.1
4300.0,P,16.900000000000002,17.3
4325.0,P,18.25,18.650000000000002
4350.0,P,19.700000000000003,20.150000000000002
4375.0,P,21.35,21.8
4400.0,P,23.200000000000003,23.75
4425.0,P,25.1,25.650000000000002
4450.0,P,27.35,27.950000000000003
4475.0,P,29.75,30.400000000000002
4500.0,P,32.4,33.1
4525.0,P,35.2,35.95
4550.0,P,38.5,39.300000000000004
4575.0,P,42.0,42.900000000000006
4600.0,P,45.900000000000006,46.900000000000006
4625.0,P,50.150000000000006,51.2
4650.0,P,54.650000000000006,55.800000000000004
4675.0,P,59.650000000000006,60.900000000000006
4700.0,P,65.15,66.5
4725.0,P,70.95,72.45
4750.0,P,77.4,79.0
4775.0,P,84.30000000000001,86.05000000000001
4800.0,P,91.5,93.4
4825.0,P,99.5,101.55000000000001
4850.0,P,107.9,110.15
4875.0,P,117.0,119.45
4900.0,P,126.7,129.3
4925.0,P,136.65,139.5
4950.0,P,147.20000000000002,150.20000000000002
4975.0,P,158.60000000000002,161.85000000000002
5000.0,P,170.85000000000002,174.35000000000002
5025.0,P,182.70000000000002,186.45000000000002
5050.0,P,196.4,200.45000000000002
5075.0,P,209.9,214.20000000000002
5100.0,P,224.20000000000002,228.8
5125.0,P,238.9,243.8
5150.0,P,254.05,259.25
5175.0,P,270.0,275.5
5200.0,P,286.40000000000003,292.2
5225.0,P,303.15000000000003,309.35
5250.0,P,320.70000000000005,327.25
5275.0,P,338.75,345.65000000000003
5300.0,P,356.6,363.90000000000003
5325.0,P,376.40000000000003,384.05
5350.0,P,395.35,403.40000000000003
5375.0,P,414.70000000000005,423.15000000000003
5400.0,P,434.65000000000003,443.5
5425.0,P,454.8,464.0
5450.0,P,476.25,485.95000000000005
5475.0,P,496.35,506.45000000000005
5500.0,P,516.9,527.4
5525.0,P,539.3000000000001,550.25
5550.0,P,562.75,574.2
5575.0,P,584.3000000000001,596.2
5600.0,P,606.9,619.2
5625.0,P,628.9000000000001,641.6500000000001
5650.0,P,651.7,664.95
